1779080599.043319 server started (1536774): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1779080599.043350 on Linux 6.17.0-23-generic #23-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 23:29:57 UTC 2026
1779080599.043363 using libevent 2.1.12-stable poll
1779080599.043367 using ncurses 6.5 20250216
1779080599.043624 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1779080599.043626 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1779080599.043628 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1779080599.043631 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1779080599.043633 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1779080599.043636 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1779080599.043638 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1779080599.043640 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1779080599.043643 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1779080599.043645 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1779080599.043648 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1779080599.043650 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1779080599.043653 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1779080599.043655 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1779080599.043665 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1779080599.043668 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1779080599.043670 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1779080599.043673 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1779080599.043675 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1779080599.043678 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1779080599.043680 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1779080599.043682 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1779080599.043685 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1779080599.043687 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1779080599.043689 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1779080599.043692 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1779080599.043694 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1779080599.043697 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1779080599.043699 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1779080599.043702 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1779080599.043704 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1779080599.043707 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1779080599.043709 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1779080599.043712 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1779080599.043714 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1779080599.043717 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1779080599.043719 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1779080599.043721 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1779080599.043724 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1779080599.043726 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1779080599.043729 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1779080599.043731 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1779080599.043742 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1779080599.043746 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1779080599.043749 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1779080599.043751 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1779080599.043753 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1779080599.043756 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1779080599.043758 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1779080599.043761 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1779080599.043763 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1779080599.043766 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1779080599.043768 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1779080599.043771 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1779080599.043773 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1779080599.043776 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1779080599.043779 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1779080599.043781 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1779080599.043784 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1779080599.043786 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1779080599.043789 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1779080599.043792 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1779080599.043795 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1779080599.043797 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1779080599.043800 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1779080599.043802 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1779080599.043805 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1779080599.043807 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1779080599.043810 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1779080599.043812 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1779080599.043814 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1779080599.043821 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1779080599.043824 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1779080599.043827 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1779080599.043829 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1779080599.043832 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1779080599.043835 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1779080599.043837 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1779080599.043840 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1779080599.043842 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1779080599.043845 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1779080599.043847 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1779080599.043850 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1779080599.043852 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1779080599.043855 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1779080599.043857 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1779080599.043860 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1779080599.043862 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1779080599.043865 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1779080599.043867 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1779080599.043869 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1779080599.043872 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1779080599.043874 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1779080599.043877 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1779080599.043879 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1779080599.043882 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1779080599.043885 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1779080599.043887 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1779080599.043889 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1779080599.043892 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1779080599.043895 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1779080599.043897 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1779080599.043900 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1779080599.043902 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1779080599.043905 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1779080599.043907 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1779080599.043910 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1779080599.043912 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1779080599.043915 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1779080599.043917 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1779080599.043920 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1779080599.043923 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1779080599.043925 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1779080599.043927 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1779080599.043930 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1779080599.043932 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1779080599.043935 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1779080599.043938 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1779080599.043940 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1779080599.043943 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1779080599.043945 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1779080599.043948 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1779080599.043950 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1779080599.043953 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1779080599.043955 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1779080599.043961 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1779080599.043964 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1779080599.043966 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1779080599.043969 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1779080599.043971 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1779080599.043974 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1779080599.043977 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1779080599.043979 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1779080599.043982 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1779080599.043984 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1779080599.043987 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1779080599.043989 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1779080599.043992 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1779080599.043994 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1779080599.043997 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1779080599.044000 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1779080599.044002 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1779080599.044005 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1779080599.044007 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1779080599.044010 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1779080599.044013 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1779080599.044015 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1779080599.044018 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1779080599.044021 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1779080599.044023 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1779080599.044026 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1779080599.044028 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1779080599.044031 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1779080599.044033 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1779080599.044036 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1779080599.044039 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1779080599.044041 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1779080599.044044 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1779080599.044046 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1779080599.044049 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1779080599.044051 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1779080599.044054 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1779080599.044057 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1779080599.044059 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1779080599.044062 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1779080599.044065 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1779080599.044067 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1779080599.044070 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1779080599.044107 yylex_token: end at WS
1779080599.044112 yylex_token: bind
1779080599.044118 yylex_token: end at WS
1779080599.044123 yylex_token: -N
1779080599.044127 yylex_token: end at WS
1779080599.044130 yylex_token: Send the prefix key
1779080599.044132 yylex_token: end at WS
1779080599.044134 yylex_token: C-b
1779080599.044137 yylex_token: end at WS
1779080599.044139 yylex_token: send-prefix
1779080599.044145 cmd_parse_build_commands 0:0: bind
1779080599.044147 cmd_parse_build_commands 0:1: -N
1779080599.044150 cmd_parse_build_commands 0:2: Send the prefix key
1779080599.044152 cmd_parse_build_commands 0:3: C-b
1779080599.044155 cmd_parse_build_commands 0:4 0:0: send-prefix
1779080599.044167 cmd_parse_build_commands 0:0: send-prefix
1779080599.044182 args_parse: flags end at 1 of 1
1779080599.044187 cmd_parse_build_commands: send-prefix
1779080599.044189 args_parse_flags: next -N
1779080599.044192 args_parse_flag_argument: -N = Send the prefix key
1779080599.044195 args_parse_flags: next C-b
1779080599.044197 args_parse: flags end at 3 of 5
1779080599.044199 args_parse: 3 = C-b (type STRING)
1779080599.044202 args_parse: 4 = send-prefix (type COMMANDS)
1779080599.044218 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1779080599.044223 cmdq_get_command: [bind-key/0x733020e9b300] group 2
1779080599.044226 cmdq_append <global>: [bind-key/0x733020e9b300]
1779080599.044229 yylex_token: end at WS
1779080599.044231 yylex_token: bind
1779080599.044233 yylex_token: end at WS
1779080599.044235 yylex_token: -N
1779080599.044239 yylex_token: end at WS
1779080599.044241 yylex_token: Rotate through the panes
1779080599.044243 yylex_token: end at WS
1779080599.044245 yylex_token: C-o
1779080599.044248 yylex_token: end at WS
1779080599.044250 yylex_token: rotate-window
1779080599.044254 cmd_parse_build_commands 0:0: bind
1779080599.044256 cmd_parse_build_commands 0:1: -N
1779080599.044258 cmd_parse_build_commands 0:2: Rotate through the panes
1779080599.044260 cmd_parse_build_commands 0:3: C-o
1779080599.044263 cmd_parse_build_commands 0:4 0:0: rotate-window
1779080599.044266 cmd_parse_build_commands 0:0: rotate-window
1779080599.044271 args_parse: flags end at 1 of 1
1779080599.044274 cmd_parse_build_commands: rotate-window
1779080599.044276 args_parse_flags: next -N
1779080599.044279 args_parse_flag_argument: -N = Rotate through the panes
1779080599.044281 args_parse_flags: next C-o
1779080599.044283 args_parse: flags end at 3 of 5
1779080599.044285 args_parse: 3 = C-o (type STRING)
1779080599.044288 args_parse: 4 = rotate-window (type COMMANDS)
1779080599.044296 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1779080599.044300 cmdq_get_command: [bind-key/0x733020e9b400] group 10
1779080599.044302 cmdq_append <global>: [bind-key/0x733020e9b400]
1779080599.044305 yylex_token: end at WS
1779080599.044307 yylex_token: bind
1779080599.044309 yylex_token: end at WS
1779080599.044311 yylex_token: -N
1779080599.044315 yylex_token: end at WS
1779080599.044317 yylex_token: Suspend the current client
1779080599.044319 yylex_token: end at WS
1779080599.044321 yylex_token: C-z
1779080599.044324 yylex_token: end at WS
1779080599.044326 yylex_token: suspend-client
1779080599.044329 cmd_parse_build_commands 0:0: bind
1779080599.044332 cmd_parse_build_commands 0:1: -N
1779080599.044334 cmd_parse_build_commands 0:2: Suspend the current client
1779080599.044336 cmd_parse_build_commands 0:3: C-z
1779080599.044338 cmd_parse_build_commands 0:4 0:0: suspend-client
1779080599.044341 cmd_parse_build_commands 0:0: suspend-client
1779080599.044347 args_parse: flags end at 1 of 1
1779080599.044349 cmd_parse_build_commands: suspend-client
1779080599.044352 args_parse_flags: next -N
1779080599.044354 args_parse_flag_argument: -N = Suspend the current client
1779080599.044356 args_parse_flags: next C-z
1779080599.044358 args_parse: flags end at 3 of 5
1779080599.044360 args_parse: 3 = C-z (type STRING)
1779080599.044363 args_parse: 4 = suspend-client (type COMMANDS)
1779080599.044370 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1779080599.044373 cmdq_get_command: [bind-key/0x733020e9b500] group 18
1779080599.044376 cmdq_append <global>: [bind-key/0x733020e9b500]
1779080599.044378 yylex_token: end at WS
1779080599.044380 yylex_token: bind
1779080599.044383 yylex_token: end at WS
1779080599.044384 yylex_token: -N
1779080599.044388 yylex_token: end at WS
1779080599.044390 yylex_token: Select next layout
1779080599.044392 yylex_token: end at WS
1779080599.044394 yylex_token: Space
1779080599.044397 yylex_token: end at WS
1779080599.044399 yylex_token: next-layout
1779080599.044402 cmd_parse_build_commands 0:0: bind
1779080599.044404 cmd_parse_build_commands 0:1: -N
1779080599.044410 cmd_parse_build_commands 0:2: Select next layout
1779080599.044413 cmd_parse_build_commands 0:3: Space
1779080599.044415 cmd_parse_build_commands 0:4 0:0: next-layout
1779080599.044418 cmd_parse_build_commands 0:0: next-layout
1779080599.044422 args_parse: flags end at 1 of 1
1779080599.044425 cmd_parse_build_commands: next-layout
1779080599.044427 args_parse_flags: next -N
1779080599.044430 args_parse_flag_argument: -N = Select next layout
1779080599.044432 args_parse_flags: next Space
1779080599.044434 args_parse: flags end at 3 of 5
1779080599.044436 args_parse: 3 = Space (type STRING)
1779080599.044438 args_parse: 4 = next-layout (type COMMANDS)
1779080599.044445 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1779080599.044448 cmdq_get_command: [bind-key/0x733020e9b600] group 26
1779080599.044451 cmdq_append <global>: [bind-key/0x733020e9b600]
1779080599.044453 yylex_token: end at WS
1779080599.044455 yylex_token: bind
1779080599.044458 yylex_token: end at WS
1779080599.044459 yylex_token: -N
1779080599.044463 yylex_token: end at WS
1779080599.044466 yylex_token: Break pane to a new window
1779080599.044468 yylex_token: end at WS
1779080599.044470 yylex_token: !
1779080599.044472 yylex_token: end at WS
1779080599.044474 yylex_token: break-pane
1779080599.044477 cmd_parse_build_commands 0:0: bind
1779080599.044479 cmd_parse_build_commands 0:1: -N
1779080599.044481 cmd_parse_build_commands 0:2: Break pane to a new window
1779080599.044483 cmd_parse_build_commands 0:3: !
1779080599.044486 cmd_parse_build_commands 0:4 0:0: break-pane
1779080599.044489 cmd_parse_build_commands 0:0: break-pane
1779080599.044491 args_parse: flags end at 1 of 1
1779080599.044494 cmd_parse_build_commands: break-pane
1779080599.044496 args_parse_flags: next -N
1779080599.044498 args_parse_flag_argument: -N = Break pane to a new window
1779080599.044501 args_parse_flags: next !
1779080599.044503 args_parse: flags end at 3 of 5
1779080599.044505 args_parse: 3 = ! (type STRING)
1779080599.044507 args_parse: 4 = break-pane (type COMMANDS)
1779080599.044514 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1779080599.044517 cmdq_get_command: [bind-key/0x733020e9b700] group 34
1779080599.044520 cmdq_append <global>: [bind-key/0x733020e9b700]
1779080599.044522 yylex_token: end at WS
1779080599.044524 yylex_token: bind
1779080599.044526 yylex_token: end at WS
1779080599.044528 yylex_token: -N
1779080599.044532 yylex_token: end at WS
1779080599.044534 yylex_token: Split window vertically
1779080599.044536 yylex_token: end at WS
1779080599.044538 yylex_token: "
1779080599.044540 yylex_token: end at WS
1779080599.044542 yylex_token: split-window
1779080599.044545 cmd_parse_build_commands 0:0: bind
1779080599.044547 cmd_parse_build_commands 0:1: -N
1779080599.044549 cmd_parse_build_commands 0:2: Split window vertically
1779080599.044551 cmd_parse_build_commands 0:3: "
1779080599.044554 cmd_parse_build_commands 0:4 0:0: split-window
1779080599.044557 cmd_parse_build_commands 0:0: split-window
1779080599.044562 args_parse: flags end at 1 of 1
1779080599.044564 cmd_parse_build_commands: split-window
1779080599.044567 args_parse_flags: next -N
1779080599.044569 args_parse_flag_argument: -N = Split window vertically
1779080599.044571 args_parse_flags: next "
1779080599.044573 args_parse: flags end at 3 of 5
1779080599.044575 args_parse: 3 = " (type STRING)
1779080599.044578 args_parse: 4 = split-window (type COMMANDS)
1779080599.044584 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1779080599.044587 cmdq_get_command: [bind-key/0x733020e9b800] group 42
1779080599.044590 cmdq_append <global>: [bind-key/0x733020e9b800]
1779080599.044592 yylex_token: end at WS
1779080599.044594 yylex_token: bind
1779080599.044596 yylex_token: end at WS
1779080599.044598 yylex_token: -N
1779080599.044602 yylex_token: end at WS
1779080599.044604 yylex_token: List all paste buffers
1779080599.044606 yylex_token: end at WS
1779080599.044608 yylex_token: #
1779080599.044615 yylex_token: end at WS
1779080599.044617 yylex_token: list-buffers
1779080599.044620 cmd_parse_build_commands 0:0: bind
1779080599.044622 cmd_parse_build_commands 0:1: -N
1779080599.044624 cmd_parse_build_commands 0:2: List all paste buffers
1779080599.044626 cmd_parse_build_commands 0:3: #
1779080599.044629 cmd_parse_build_commands 0:4 0:0: list-buffers
1779080599.044632 cmd_parse_build_commands 0:0: list-buffers
1779080599.044635 args_parse: flags end at 1 of 1
1779080599.044641 cmd_parse_build_commands: list-buffers
1779080599.044643 args_parse_flags: next -N
1779080599.044646 args_parse_flag_argument: -N = List all paste buffers
1779080599.044648 args_parse_flags: next #
1779080599.044650 args_parse: flags end at 3 of 5
1779080599.044652 args_parse: 3 = # (type STRING)
1779080599.044655 args_parse: 4 = list-buffers (type COMMANDS)
1779080599.044662 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1779080599.044665 cmdq_get_command: [bind-key/0x733020e9b900] group 50
1779080599.044667 cmdq_append <global>: [bind-key/0x733020e9b900]
1779080599.044670 yylex_token: end at WS
1779080599.044672 yylex_token: bind
1779080599.044674 yylex_token: end at WS
1779080599.044676 yylex_token: -N
1779080599.044679 yylex_token: end at WS
1779080599.044682 yylex_token: Rename current session
1779080599.044684 yylex_token: end at WS
1779080599.044685 yylex_token: $
1779080599.044689 yylex_token: end at WS
1779080599.044690 yylex_token: command-prompt
1779080599.044693 yylex_token: end at WS
1779080599.044695 yylex_token: -I#S
1779080599.044698 yylex_token: end at WS
1779080599.044700 yylex_token: rename-session
1779080599.044702 yylex_token: end at WS
1779080599.044703 yylex_token: --
1779080599.044705 yylex_token: end at WS
1779080599.044707 yylex_token: %%
